sede_id,secciones_desc_castellano,correo_electronico
ECHES,Sección  Económica  y  Comercial,eches-comercial@cancilleria.gob.ar
ETURQ,Sección  Económica  y  Comercial,comercial_eturq@mrecic.gov.ar
CCHIC,Sección  Económica  y  Comercial,argentradechicago@mrecic.gov.ar
ENIGE,Sección  Económica  y  Comercial,comercial_enige@mrecic.gov.ar
EBELG,Sección  Económica  y  Comercial,secom_ebelg@cancilleria.gob.ar
EPERU,Sección  Económica  y  Comercial  ,comercial_eperu@mrecic.gov.ar
EJAMA,Sección  Económica  y  Comercial,ejama@mrecic.gov.ar
ESAFR,Sección  Económica  y  Comercial,esafr@cancilleria.gob.ar
CVIGO,Sección  Económica  y  Comercial,cvigo@cancilleria.gob.ar
EINDI,Sección  Económica  y  Comercial,comercial_eindi@mrecic.gov.ar
CFRAN,Sección  Económica  y  Comercial,cfran@cancilleria.gob.ar
CRECI,Sección  Económica  y  Comercial,comercial_creci@mrecic.gov.ar
ECUBA,Sección  Económica  y  Comercial,comercial_ecuba@mrecic.gov.ar
ETUNE,Sección  Económica  y  Comercial,secom_etune@cancilleria.gob.ar
EMSIA,Sección  Económica  y  Comercial,comercial_emsia@mrecic.gov.ar
CTORO,SECCION  ECONOMICA  Y  COMERCIAL,comercial_ctoro@mrecic.gov.ar
EISIA,Sección  Económica  y  Comercial,comercial_eisia@mrecic.gov.ar
CSHAN,Sección  Económica  y  Comercial,cshan@mrecic.gov.ar
EHILE,Sección  Económica  y  Comercial,secom_ehile@mrecic.gov.ar
EGUAT,Sección  Económica  y  Comercial,comercialeguat@mrecic.gov.ar
ERICA,Sección  Económica  y  Comercial,comercial_erica@mrecic.gov.ar
ESURI,Sección  Económica  y  Comercial,0
EAZER,Sección  Económica  y  Comercial,eazer@mrecic.gov.ar
ETAIL,Sección  Económica  y  Comercial,secom_etail@mrecic.gov.ar
EPNMA,Sección  Económica  y  Comercial,comercial_epnma@cancilleria.gob.ar
0,Sección  Económica  y  Comercial,0
EUCRA,Sección  Económica  y  Comercial,secom_eucra@mrecic.gov.ar
EMOZA,Sección  Económica  y  Comercial  ,emoza@cancilleria.gob.ar
EPBAJ,"Sección  Económica  y  Comercial, Prensa  y  Turismo.",comercial_epbaj@mrecic.gov.ar
EITAL,Sección  Económica  y  Promoción  de  Inversiones,economica_eital@mrecic.gov.ar
CHONG,Sección  Económica-Comercial,chong@mrecic.gov.ar
ECANA,"Sección  Económica-Comercial, Cooperación  e  Innovación",comercialecana@cancilleria.gob.ar
ESING,"Sección  Económica, Comercial  y  de  Inversiones",embargentina_trade@mrecic.gov.ar
EVIET,"Sección  Económica, Comercial  y  de  Inversiones",comercialeviet@mrecic.gov.ar
ESUIZ,"Sección  Económica, Comercial  y  de  Inversiones",esuiz@cancilleria.gob.ar
EEARB,"Sección  Económica, Comercial  y  de  Inversiones  /  Oficina  Comercial  en  Dubai",ocbai@mrecic.gov.ar
ESUEC,"Sección  Económica, Comercial  y  de  Promoción  de  Inversiones",secom_esuec@mrecic.gov.ar
ERUNI,"Sección  Económica, Comercial  y  Turismo",eruni@mrecic.gov.ar
ECOLO,"Sección  Económica, Comercial  y  Turismo",comercial_colombia@cancilleria.gov.ar
EBOLV,"Sección  Económica, Comercial, de  Inversiones  y  Turismo.",rti@mrecic.gov.ar
EBOLV,"Sección  Económica, Comercial, de  Inversiones  y  Turismo.",qfa@mrecic.gov.ar
EFRAN,"Sección  Económica, Comercial, Promoción  e  Inversiones",secom_efran@mrecic.gov.ar
EISRA,Sección  Económico-Comercial  y  de  Cooperación,comercialeisra@mrecic.gov.ar
EBRAS,"Sección  Económico-Comercial, Inversiones  y  Turismo",ebras@mrecic.gob.ar
EECUA,Sección  Educación  y  Cooperación,educacionycooperacion@mrecic.gov.ar
CSHAN,Sección  Educativa,cshan@mrecic.gov.ar
EHOND,Sección  Encargado  Cancillería,ehond@cancilleria.gob.ar
EFRUS,"Sección  Energía, Ciencia  y  Tecnología",secyt_efrus@cancilleria.gob.ar
ECHIN,Sección  Inversiones,echin@cancilleria.gob.ar
EHILE,Sección  Jurídica,juridicos_ehile@mrecic.gov.ar
EFRUS,Sección  Malvinas  Antártida  y  Atlántico  Sur,efrus@cancilleria.gob.ar
CNYOR,Sección  Notarial,informes@cnyor.com
EFRAN,Sección  Organismos  Internacionales  Económicos,efran@cancilleria.gob.ar
EPERU,Sección  Política  ,contacto_eperu@mrecic.gov.ar
EETIO,Sección  Política,eetio@mrecic.gov.ar
EALEM,Sección  Política,ealem@cancilleria.gob.ar
ECHES,Sección  Política  ,eches@mrecic.gov.ar
ECHIN,Sección  Política,echin@cancilleria.gob.ar
ESUIZ,Sección  Política,esuiz@cancilleria.gob.ar
EARGE,Sección  Política,earge@cancilleria.gob.ar
EMSIA,Sección  Política,emsia@cancilleria.gob.ar
EECUA,Sección  Política,eecua@mrecic.gov.ar
EAUST,Sección  Política,eaust@mrecic.gov.ar
EEARB,Sección  Política,eearb@mrecic.gov.ar
ECORE,Sección  Política,ecorepol@mrecic.gov.ar
EEEUU,Sección  Política,tob@embassyofargentina.us
EVENE,Sección  Política,evene@mrecic.gov.ar
EEGIP,Sección  Política,eegip@mrecic.gov.ar
EUNGR,Sección  Política,  eungr@mrecic.gov.ar      
EHAIT,Sección  Política,ehait@cancilleria.gob.ar
ELBNO,Sección  Política,elbno@mrecic.gov.ar
EANGO,Sección  Política,eango@cancilleria.gob.ar
EMEXI,Sección  Política,politica-emexi@mrecic.gov.ar
ENIGE,Sección  Política,enige@mrecic.gov.ar
EQATR,Sección  Política,eqatr@mrecic.gov.ar
EMARR,Sección  Política,emarr@cancilleria.gov.ar
EURUG,Sección  Política,eurug@mrecic.gov.ar
EFRUS,Sección  Política,sepol_efrus@cancilleria.gob.ar
EIRLA,Sección  Política,eirla@mrecic.gov.ar
EISIA,Sección  Política,eisia@mrecic.gov.ar
ETUNE,Sección  Política,etune@mrecic.gov.ar  (correo  inst.)
ECEUR,Sección  Política,eceur@cancilleria.gob.ar
EHILE,Sección  Política,secpol_ehile@mrecic.gov.ar
ETAIL,Sección  Política,etail@cancilleria.gob.ar
ESURI,Sección  Política,esuri@cancilleria.gob.ar
EITAL,Sección  Política,eital@cancilleria.gob.ar
EAZER,Sección  Política,eazer@mrecic.gov.ar
EUCRA,Sección  Política,politica_eucra@mrecic.gov.ar
EINDI,Sección  Política,eindi@mrecic.gov.ar
EBELG,Sección  Política,ebelg@cancilleria.gob.ar
EMOZA,Sección  Política,emoza@cancilleria.gob.ar
ERUNI,Seccion  Politica,eruni@mrecic.gov.ar
ENZEL,Sección  Política,enzel@cancilleria.gob.ar
ESUEC,Sección  Política,esuec@cancilleria.gob.ar
EBARB,Sección  Política,ebarb@cancilleria.gob.ar
EVIET,Sección  Política  y  Cooperación,eviet@mrecic.gov.ar
EESPA,Sección  Política  y  Cooperación  Jurídica,politica.argenesp@mrecic.gov.ar
ERUNI,Sección  Política  y  Coordinación,politica@argentine-embassy-uk.org
ESING,Sección  Política  y  Cultural,esing@mrecic.gov.ar
EISRA,Sección  Política  y  Cultural,cultura_eisra@mrecic.gov.ar
EFRAN,"Sección  Política, Asuntos  Juridicos  y  Derechos  Humanos",politica_efran@mrecic.gov.ar
EBOLV,"Sección  Política, Fronteras, Defensa  y  Seguridad",dzq@mrecic.gov.ar
EESPA,"Sección  Política, Prensa  y  Comunicación",eespa@mrecic.gov.ar
ECOLO,"Sección  Política, Tecnología  y  Ciencia",ecolo_politica@cancilleria.gob.ar
EPBAJ,Sección  Política/Jurídica  ,epbaj@mrecic.gov.ar
CSHAN,Sección  Prensa,cshan@cancilleria.gob.ar
ERUNI,Seccion  Prensa,eruni@mrecic.gov.ar
EECUA,Sección  Prensa,oun@mrecic.gov.ar
EARGE,Sección  Prensa,earge@cancilleria.gob.ar
CRECI,Sección  Prensa,creci@mrecic.gov.ar
EHILE,Sección  Prensa,prensa_ehile@mrecic.gov.ar
EVIET,Sección  Prensa  y  Cultura,eviet@mrecic.gov.ar
ECEUR,Sección  Prensa  y  Diplomacia  Pública,tgr@mrecic.gov.ar
ESSED,"Sección  Prensa, Redes  Sociales  y  Comunicación",essed@mrecic.gov.ar
DITIC,Sección  prueba,ditic-turismo@mrecic.gov.ar
CSHAN,Sección  Turismo,cshan@cancilleria.gob.ar
EALEM,Sección  Turismo,turismo_ealem@cancilleria.gob.ar
CRIOJ,Sección  Turismo,comercialrio@cancilleria.gob.ar
EMEXI,"Secciones  Cooperación, Educación, Turismo  y  Belice",cooperacion-emexi@mrecic.gov.ar
EHILE,Secretaría  Privada,qfy@mrecic.gov.ar
CNYOR,Turismo,cnyor@cancilleria.gob.ar
CNYOR,Visas,visas@cnyor.com
